name,category,definition,description,scope,level
ts_scale,Time Series,"ts_scale(x, d, constant = 0)","Returns (x - ts_min(x, d)) / (ts_max(x, d) - ts_min(x, d)) + constant. This operator is similar to scale down operator but acts in time series space","COMBO,REGULAR",ALL
ts_step,Time Series,ts_step(1),Returns days' counter,"COMBO,REGULAR",ALL
ts_sum,Time Series,"ts_sum(x, d)",Sum values of x for the past d days.,"COMBO,REGULAR",ALL
ts_co_kurtosis,Time Series,"ts_co_kurtosis(y, x, d)",Returns cokurtosis of y and x for the past d days,"COMBO,REGULAR",
ts_partial_corr,Time Series,"ts_partial_corr(x, y, z, d)","Returns partial correlation of x, y, z for the past d days","COMBO,REGULAR",
inst_tvr,Time Series,"inst_tvr(x, d)",Total trading value / Total holding value in the past d days,"COMBO,REGULAR",
ts_decay_exp_window,Time Series,"ts_decay_exp_window(x, d, factor = f)",Returns exponential decay of x with smoothing factor for the past d days,"COMBO,REGULAR",
ts_av_diff,Time Series,"ts_av_diff(x, d)","Returns x - tsmean(x, d), but deals with NaNs carefully. That is NaNs are ignored during mean computation","COMBO,REGULAR",ALL
ts_mean,Time Series,"ts_mean(x, d)",Returns average value of x for the past d days.,"COMBO,REGULAR",ALL
ts_arg_max,Time Series,"ts_arg_max(x, d)","Returns the relative index of the max value in the time series for the past d days. If the current day has the max value for the past d days, it returns 0. If previous day has the max value for the past d days, it returns 1","COMBO,REGULAR",ALL
ts_max,Time Series,"ts_max(x, d)",Returns max value of x for the past d days,"COMBO,REGULAR",
ts_rank,Time Series,"ts_rank(x, d, constant = 0)","Rank the values of x for each instrument over the past d days, then return the rank of the current value + constant. If not specified, by default, constant = 0.","COMBO,REGULAR",ALL
ts_delay,Time Series,"ts_delay(x, d)",Returns x value d days ago,"COMBO,REGULAR",ALL
hump_decay,Time Series,"hump_decay(x, p=0)",This operator helps to ignore the values that changed too little corresponding to previous ones,"COMBO,REGULAR",
ts_weighted_decay,Time Series,"ts_weighted_decay(x, k=0.5)","Instead of replacing today's value with yesterday's as in ts_decay(x, 1), it assigns weighted average of today's and yesterday's values with weight on today's value being k and yesterday's being (1-k)","COMBO,REGULAR",
ts_quantile,Time Series,"ts_quantile(x,d, driver=""gaussian"" )","It calculates ts_rank and apply to its value an inverse cumulative density function from driver distribution. Possible values of driver (optional ) are ""gaussian"", ""uniform"", ""cauchy"" distribution where ""gaussian"" is the default.","COMBO,REGULAR",ALL
ts_min,Time Series,"ts_min(x, d)",Returns min value of x for the past d days,"COMBO,REGULAR",
ts_count_nans,Time Series,"ts_count_nans(x ,d)",Returns the number of NaN values in x for the past d days,"COMBO,REGULAR",ALL
ts_covariance,Time Series,"ts_covariance(y, x, d)",Returns covariance of y and x for the past d days,"COMBO,REGULAR",ALL
ts_decay_linear,Time Series,"ts_decay_linear(x, d, dense = false)",Returns the linear decay on x for the past d days. Dense parameter=false means operator works in sparse mode and we treat NaN as 0. In dense mode we do not.,"COMBO,REGULAR",ALL
jump_decay,Time Series,"jump_decay(x, d, sensitivity=0.5, force=0.1)",If there is a huge jump in current data compare to previous one,"COMBO,REGULAR",
ts_arg_min,Time Series,"ts_arg_min(x, d)","Returns the relative index of the min value in the time series for the past d days; If the current day has the min value for the past d days, it returns 0; If previous day has the min value for the past d days, it returns 1.","COMBO,REGULAR",ALL
ts_regression,Time Series,"ts_regression(y, x, d, lag = 0, rettype = 0)",Returns various parameters related to regression function,"COMBO,REGULAR",ALL
kth_element,Time Series,"kth_element(x, d, k)",Returns K-th value of input by looking through lookback days. This operator can be used to backfill missing data if k=1,"COMBO,REGULAR",ALL
hump,Time Series,"hump(x, hump = 0.01)",Limits amount and magnitude of changes in input (thus reducing turnover),"COMBO,REGULAR",ALL
ts_median,Time Series,"ts_median(x, d)",Returns median value of x for the past d days,"COMBO,REGULAR",
ts_delta,Time Series,"ts_delta(x, d)","Returns x - ts_delay(x, d)","COMBO,REGULAR",ALL
ts_vector_proj,Time Series,"ts_vector_proj(x,y,d)",Returns vector projection of x onto y in time-series space.,"COMBO,REGULAR",
ts_target_tvr_decay,Time Series,"ts_target_tvr_decay(x, lambda_min=0, lambda_max=1, target_tvr=0.1)","Tune ""ts_decay"" to have a turnover equal to a certain target, with optimization weight range between lambda_min, lambda_max","COMBO,REGULAR",
ts_target_tvr_delta_limit,Time Series,"ts_target_tvr_delta_limit(x, y, lambda_min=0, lambda_max=1, target_tvr=0.1)","Tune ""ts_delta_limit"" to have a turnover equal to a certain target with optimization weight range between lambda_min, lambda_max. Also, please be aware of the scaling for x and y. Besides setting y as adv20 or volume related data, you can also set y as a constant.","COMBO,REGULAR",
ts_target_tvr_hump,Time Series,"ts_target_tvr_hump(x, lambda_min=0, lambda_max=1, target_tvr=0.1)","Tune ""hump"" to have a turnover equal to a certain target with optimization weight range between lambda_min, lambda_max.","COMBO,REGULAR",
ts_delta_limit,Time Series,"ts_delta_limit(x, y, limit_volume=0.1)","Limit the change in the Alpha position x between dates to a specified fraction of y. The ""limit_volume"" can be in the range of 0 to 1. Also, please be aware of the scaling for x and y. Besides setting y as adv20 or volume related data, you can also set y as a constant.","COMBO,REGULAR",
winsorize,Cross Sectional,"winsorize(x, std=4)","Winsorizes x to make sure that all values in x are between the lower and upper limits, which are specified as multiple of std.","COMBO,REGULAR",ALL
rank,Cross Sectional,"rank(x, rate=2)","Ranks the input among all the instruments and returns an equally distributed number between 0.0 and 1.0. For precise sort, use the rate as 0","COMBO,REGULAR",ALL
vector_neut,Cross Sectional,"vector_neut(x, y)","For given vectors x and y, it finds a new vector x* (output) such that x* is orthogonal to y","COMBO,REGULAR",
regression_neut,Cross Sectional,"regression_neut(y, x)",Conducts the cross-sectional regression on the stocks with Y as target and X as the independent variable,"COMBO,REGULAR",
zscore,Cross Sectional,zscore(x),Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean,"COMBO,REGULAR",ALL
scale_down,Cross Sectional,"scale_down(x,constant=0)",Scales all values in each day proportionately between 0 and 1 such that minimum value maps to 0 and maximum value maps to 1. Constant is the offset by which final result is subtracted,"COMBO,REGULAR",
truncate,Cross Sectional,"truncate(x,maxPercent=0.01)","Operator truncates all values of x to maxPercent. Here, maxPercent is in decimal notation","COMBO,REGULAR",
scale,Cross Sectional,"scale(x, scale=1, longscale=1, shortscale=1)",Scales input to booksize. We can also scale the long positions and short positions to separate scales by mentioning additional parameters to the operator,"COMBO,REGULAR",ALL
rank_by_side,Cross Sectional,"rank_by_side(x, rate=2,scale=1)",Ranks positive and negative input separately and scale to book. For precise sorting use rate=0,"COMBO,REGULAR",
normalize,Cross Sectional,"normalize(x, useStd = false, limit = 0.0)","Calculates the mean value of all valid alpha values for a certain date, then subtracts that mean from each element","COMBO,REGULAR",ALL
one_side,Cross Sectional,"one_side(x , side = long )","Shifts all instruments up or down so that the Alpha becomes long-only or short-only (if side = short), respectively.","COMBO,REGULAR",
quantile,Cross Sectional,"quantile(x, driver = gaussian, sigma = 1.0)","Rank the raw vector, shift the ranked Alpha vector, apply distribution (gaussian, cauchy, uniform). If driver is uniform, it simply subtract each Alpha value with the mean of all Alpha values in the Alpha vector","COMBO,REGULAR",ALL
vec_percentage,Vector,"vec_percentage(x,percentage=0.5)",Percentile of vector field x,"COMBO,REGULAR",
vec_min,Vector,vec_min(x),Minimum value form vector field x,"COMBO,REGULAR",
vec_count,Vector,vec_count(x),Number of elements in vector field x,"COMBO,REGULAR",
vec_sum,Vector,vec_sum(x),Sum of vector field x,"COMBO,REGULAR",ALL
vec_max,Vector,vec_max(x),Maximum value form vector field x,"COMBO,REGULAR",
vec_avg,Vector,vec_avg(x),Taking mean of the vector field x,"COMBO,REGULAR",ALL
vec_choose,Vector,"vec_choose(x,nth=k)",Choosing k-th item(indexed at 0) from each vector field x,"COMBO,REGULAR",
right_tail,Transformational,"right_tail(x, minimum = 0)","NaN everything less than minimum, minimum should be constant","COMBO,REGULAR",
bucket,Transformational,"bucket(rank(x), range=""0, 1, 0.1"" or buckets = ""2,5,6,7,10"")","Convert float values into indexes for user-specified buckets. Bucket is useful for creating group values, which can be passed to GROUP as input","COMBO,REGULAR",ALL
left_tail,Transformational,"left_tail(x, maximum = 0)","NaN everything greater than maximum, maximum should be constant","COMBO,REGULAR",
trade_when,Transformational,"trade_when(x, y, z)",Used in order to change Alpha values only under a specified condition and to hold Alpha values in other cases. It also allows to close Alpha positions (assign NaN values) under a specified condition,"COMBO,REGULAR",ALL
generate_stats,Transformational,generate_stats(alpha),"The generate_stats() operator calculates Alpha statistics for each day in the IS period. It takes an input of selected Alphas with shape = (A x D x I). It outputs daily statistics for each Alpha with shape = (S x D x A), where S is the number of statistics calculated.",COMBO,ALL
group_min,Group,"group_min(x, group)",All elements in group equals to the min value of the group.,"COMBO,REGULAR",
group_mean,Group,"group_mean(x, weight, group)",All elements in group equals to the mean,"COMBO,REGULAR",ALL
group_median,Group,"group_median(x, group)",All elements in group equals to the median value of the group.,"COMBO,REGULAR",
group_max,Group,"group_max(x, group)",Maximum of x for all instruments in the same group.,"COMBO,REGULAR",
group_vector_neut,Group,"group_vector_neut(x,y,g)","Similar to vector_neut(x, y) but x neutralize to y for each group g which can be any classifier such as subindustry, industry, sector, etc.","COMBO,REGULAR",
group_rank,Group,"group_rank(x, group)",Each elements in a group is assigned the corresponding rank in this group,"COMBO,REGULAR",ALL
group_normalize,Group,"group_normalize(x, group, constantCheck=False, tolerance=0.01, scale=1)",Normalizes input such that each group's absolute sum is 1,"COMBO,REGULAR",
group_coalesce,Group,"group_coalesce(original_group, group2, group3, …)",Regroup remaining stocks based on group2 and so on if original_group does not cover all stocks in target universe,"COMBO,REGULAR",
group_backfill,Group,"group_backfill(x, group, d, std = 4.0)","If a certain value for a certain date and instrument is NaN, from the set of same group instruments, calculate winsorized mean of all non-NaN values over last d days","COMBO,REGULAR",ALL
group_scale,Group,"group_scale(x, group)",Normalizes the values in a group to be between 0 and 1. (x - groupmin) / (groupmax - groupmin),"COMBO,REGULAR",ALL
group_zscore,Group,"group_zscore(x, group)",Calculates group Z-score - numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean. zscore = (data - mean) / stddev of x for each instrument within its group.,"COMBO,REGULAR",ALL
group_neutralize,Group,"group_neutralize(x, group)","Neutralizes Alpha against groups. These groups can be subindustry, industry, sector, country or a constant","COMBO,REGULAR",ALL
group_cartesian_product,Group,"group_cartesian_product(g1, g2)","Merge two groups into one group. If originally there are len_1 and len_2 group indices in g1 and g2, there will be len_1 * len_2 indices in the new group.","COMBO,REGULAR",
combo_a,Group,"combo_a(alpha, nlength = 250, mode = 'algo1')","Combines multiple alpha signals into a single weighted output by balancing each alpha's historical return with its variability over the most recent nlength days.

The parameter mode selects one of the several weighted approaches (algo1, algo2, algo3), each of which handles the tradeoff between performance and stability differently.",COMBO,ALL
convert,Special,"convert(x, mode = ""dollar2share"")","Convert dollars to share or share to dollar when mode = ""share2dollar"". Please note that the use of the convert() operator in an Alpha Expression is considered as utilizing the pv1 dataset (Price Volume Data for Equity) since it relies on pv1 data for calculations","COMBO,REGULAR",
self_corr,Special,self_corr(input),"Taking an input matrix of (D x N) with lookback=""K"", producing an output matrix of (D x N x N), where each output(di, j, k) refers to correlation of input(di-K:di, j) and input(di-K:di, k). Outputs (D x N x N) from the input of (D x N)",COMBO,ALL
in,Special,in,in,SELECTION,ALL
universe_size,Special,universe_size,universe_size,SELECTION,ALL
reduce_ir,Reduce,reduce_ir(input),"IR of values in the array *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_avg,Reduce,"reduce_avg(input, threshold=0)","Average of non-NAN elements of d(..., :). Threshold: Minimum required number of valid (non-nan) values. If there is not enough valid values, then the output is nan. 0 means no limit.threshold (Default: 0) *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_powersum,Reduce,"reduce_powersum(input, constant=2, precise=false)","Sum of power, sum(power(x, constant)). Threshold: precise, whether calculate power precise if constant greater than 4, default false constant=<integer value>, default:2 *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_max,Reduce,reduce_max(input),"Maximum of elements of d(..., :) *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_min,Reduce,reduce_min(input),"Minimum of elements of d(..., :) ***Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. 
If input matrix is (D x N), output matrix (D x 1) 
If input matrix is (D x N X N), output matrix (D x N X 1) 
The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_norm,Reduce,reduce_norm(input),"Absolute sum of number of element of d(..., :) *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_sum,Reduce,reduce_sum(input),"Sum the number of element of d(..., :) *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_range,Reduce,reduce_range(input),"Return the range of values in the array, return NAN if no valid value *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_percentage,Reduce,"reduce_percentage(input, percentage=0.5)","Return the value of percentage in the sorted array: e.g., median value when percentage=0.5. Threshold: percentage=""<value between 0 and 1>"" (Default: 0.5) *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_skewness,Reduce,reduce_skewness(input),"Skewness of values in the array *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_count,Reduce,"reduce_count(input, threshold)","Count the number of element of d(..., :) > threshold. threshold=<float> *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_kurtosis,Reduce,reduce_kurtosis(input),"Kurtosis of values in the array ***Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. 
If input matrix is (D x N), output matrix (D x 1) 
If input matrix is (D x N X N), output matrix (D x N X 1) 
The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_choose,Reduce,"reduce_choose(input, nth, ignoreNan=true)","Choose the 'nth' element in the array, return NAN if not found. Threshold: nth=""<the Nth element>"" (Required) ignoreNan=""true|false"" (Default: true) *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
reduce_stddev,Reduce,"reduce_stddev(input, threshold=0)","Standard deviation of values in the array. Threshold: Minimum required percentage of valid (non-nan) values. If there is not enough valid values, then the output is NAN. 0 means no limit.threshold (Default: 0) *** Takes an input 2-D or 3-D matrix with user-defined reducer, producing an output matrix. *If input matrix is (D x N), output matrix (D x 1) *If input matrix is (D x N X N), output matrix (D x N X 1) *The defined function is applied on the last dimension : output(I) = reduce(input(I, 0:N)).",COMBO,ALL
